"ISBN","Titles","AuthorFN","AuthorLN","TranslatorFN","TranslatorLN","Publisher","Genre","Price","Month","Year","Language","Country","OtherFN","OtherLN","Other Role"
"9781933372402","Between Two Seas","Carmine","Abate","Antony","Shugaar","Europa Editions","Fiction","$14.95 ","Jan",2008,"Italian","Italy",,,
"9789774161452","Collar and the Bracelet","Yahya Taher","Abdullah","Samah","Selim","American University at Cairo","Fiction","$17.95 ","Mar",2008,"Arabic","Egypt",,,
"9781901285758","Cliffs","Olivier","Adam","Sue","Rose","Pushkin Press","Fiction","$14.95 ","Jan",2008,"French","France",,,
"9780975444474","Laundry","Suzane","Adam","Becka Mara","McKay","Autumn Hill","Fiction","$16.95 ","Apr",2008,"Hebrew","Romania",,,
"9781400066735","Journey","H. G.","Adler","Peter","Filkins","Random House","Fiction","$26.00 ","Nov",2008,"German","Germany",,,
"9781596922877","Machine","Peter","Adolphsen","Charlotte","Barslund","MacAdam Cage","Fiction","$15.00 ","Apr",2008,"Danish","Denmark",,,
"9781934414088","Mihyar of Damascus",,"Adonis","Adan","Haydar","BOA Editions","Poetry","$16.00 ","July",2008,"Arabic","Syrian Arab Republic",,,
"9781584980599","Summer's End","Adalet","Agaoglu","Figen","Bingul","Talisman House","Fiction","$18.95 ","Mar",2008,"Turkish","Turkey","various","various","Translator"
"9781592642144","To This Day","S. Y.","Agnon","Hillel","Halkin","Toby Press","Fiction","$24.95 ","Apr",2008,"Hebrew","Israel",,,
"9781416573517","Book of Chameleons","Jose Eduardo","Agualusa","Daniel","Hahn","Simon & Schuster","Fiction","$12.00 ","June",2008,"Portuguese","Angola",,,
"9780195473872","Penitence of Nashooh and The Story of Nazir Ahmad","Nazir","Ahmad","Mirza","Farhatullah","Oxford University Press","Fiction","$24.00 ","Jan",2008,"Urdu","Pakistan",,,
"9780812975147","Sister Pelagia and the Black Monk","Boris","Akunin","Andrew","Bromfield","Random House","Fiction","$14.00 ","May",2008,"Russian","Russia",,,
"9780812978605","Special Assignments","Boris","Akunin","Andrew","Bromfield","Random House","Fiction","$14.00 ","Feb",2008,"Russian","Russia",,,
"9780924047510","Five Seasons of Love","Joao","Almino","Elizabeth","Jackson","Host Publications","Fiction","$15.00 ","Jan",2008,"Portuguese","Brazil",,,
"9781572411555","Ashantee","Peter","Altenberg","Katharina","von Hammerstein","Ariadne Books","Fiction","$15.00 ","Jan",2008,"German","Austria",,,
"9781904738268","Crimini","Niccolo","Ammaniti","Andrew","Brown","Bitter Lemon","Fiction","$14.95 ","Apr",2008,"Italian","Italy","various","various","Author"
"9781933132525","Moscoviad","Yuri","Andrukhovych","Vitaly","Chernetsky","Spuyten Duyvil","Fiction","$14.00 ","Dec",2008,"Ukrainian","Ukraine",,,
"9781846590320","Jamilia","Chingiz","Antmatov","James","Riordan","Telegram","Fiction","$11.95 ","Jan",2008,"Russian","Kyrgyzstan",,,
"9781564784360","Knowledge of Hell","Antonio Lobo","Antunes","Clifford","Landers","Dalkey Archive","Fiction","$13.95 ","Mar",2008,"Portuguese","Portugal",,,
"9780393329483","What Can I Do When Everything's On Fire?","Antonio Lobo","Antunes","Gregory","Rabassa","W.W. Norton","Fiction","$18.95 ","Sept",2008,"Portuguese","Portugal",,,
"9780231143424","Song of Everlasting Sorrow","Wang","Anyi","Michael","Berry","Columbia University Press","Fiction","$29.50 ","Mar",2008,"Chinese","China","Susan Chan","Egan","Translator"
"9781590784723","I Need You More than I Love You and I Love You to Bits","Gunnar","Ardelius","Tara","Chace","Front Street","Fiction","$16.95 ","Nov",2008,"Swedish","Sweden",,,
"9780061458415","Everything Under the Sky","Matilde","Asensi","??","??","HarperCollins","Fiction","$25.95 ","Sept",2008,"Spanish","Spain",,,
