# Table 21: Historic Data (1995-1999): Book production: Number of titles by UDC classes
Country,Total,Total,Total,Total,Total,Generalities,Generalities,Generalities,Generalities,Generalities,"Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Religion, Theology","Religion, Theology","Religion, Theology","Religion, Theology","Religion, Theology",Social Sciences,Social Sciences,Social Sciences,Social Sciences,Social Sciences,Philology,Philology,Philology,Philology,Philology,Pure Sciences,Pure Sciences,Pure Sciences,Pure Sciences,Pure Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Arts and Recreation,Arts and Recreation,Arts and Recreation,Arts and Recreation,Arts and Recreation,Literature,Literature,Literature,Literature,Literature,Geography / History,Geography / History,Geography / History,Geography / History,Geography / History
# COUNTRY,1995,1996,1997,1998,1999,1995,1996,1997,1998,1999,1995,1996,1997,1998,1999,1995,1996,1997,1998,1999,1995,1996,1997,1998,1999,1995,1996,1997,1998,1999,1995,1996,1997,1998,1999,1995,1996,1997,1998,1999,1995,1996,1997,1998,1999,1995,1996,1997,1998,1999,1995,1996,1997,1998,1999
Afghanistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Algeria,...,670,...,...,133,...,39,...,...,...,...,21,...,...,4,...,112,...,...,2,...,96,...,...,57,...,34,...,...,1,...,71,...,...,11,...,157,...,...,46,...,30,...,...,2,...,77,...,...,10,...,33,...,...,...
American Samoa,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Andorra,...,...,...,104,173,...,...,...,19,5,...,...,...,-,-,...,...,...,-,1,...,...,...,39,45,...,...,...,6,4,...,...,...,5,-,...,...,...,4,17,...,...,...,11,47,...,...,...,12,27,...,...,...,8,27
Angola,22,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,22,...,...,...,...,-,...,...,...,...
Anguilla,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Antigua and Barbuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Argentina,9113,9850,10590,11991,...,157,339,419,357,...,437,818,846,953,...,492,541,634,656,...,2823,2529,3021,3428,...,91,111,124,138,...,89,111,194,271,...,866,900,1049,1409,...,580,490,638,821,...,2664,2520,3044,3210,...,476,525,621,748,...
