"GHO","COUNTRY","YEAR","REGION","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","Comments"
"WHS9_89","AFG","2010","EMR","","46","46.45000","","",""
"WHS9_89","ALB","2010","EUR","","23","22.68000","","",""
"WHS9_89","DZA","2010","AFR","","27","27.05000","","",""
"WHS9_89","AND","2010","EUR","","15","14.96000","","",""
"WHS9_89","AGO","2010","AFR","","47","46.57000","","",""
"WHS9_89","ATG","2010","AMR","","24","23.63000","","",""
"WHS9_89","ARG","2010","AMR","","25","24.87000","","",""
"WHS9_89","ARM","2010","EUR","","20","20.18000","","",""
"WHS9_89","AUS","2010","WPR","","19","18.99000","","",""
"WHS9_89","AUT","2010","EUR","","15","14.72000","","",""
"WHS9_89","AZE","2010","EUR","","21","20.89000","","",""
"WHS9_89","BHS","2010","AMR","","23","22.52000","","",""
"WHS9_89","BHR","2010","EMR","","20","20.03000","","",""
"WHS9_89","BGD","2010","SEAR","","31","31.30000","","",""
"WHS9_89","BRB","2010","AMR","","17","17.39000","","",""
"WHS9_89","BLR","2010","EUR","","15","15.00000","","",""
"WHS9_89","BEL","2010","EUR","","17","16.87000","","",""
"WHS9_89","BLZ","2010","AMR","","35","35.04000","","",""
"WHS9_89","BEN","2010","AFR","","44","43.70000","","",""
"WHS9_89","BTN","2010","SEAR","","29","29.43000","","",""
"WHS9_89","BOL","2010","AMR","","36","36.08000","","",""
"WHS9_89","BIH","2010","EUR","","15","15.05000","","",""
"WHS9_89","BWA","2010","AFR","","33","32.56000","","",""
"WHS9_89","BRA","2010","AMR","","25","25.45000","","",""
"WHS9_89","BRN","2010","WPR","","26","26.19000","","",""
"WHS9_89","BGR","2010","EUR","","14","13.72000","","",""
"WHS9_89","BFA","2010","AFR","","45","45.34000","","",""
"WHS9_89","BDI","2010","AFR","","38","37.87000","","",""
"WHS9_89","KHM","2010","WPR","","32","31.90000","","",""
"WHS9_89","CMR","2010","AFR","","41","40.58000","","",""
"WHS9_89","CAN","2010","AMR","","16","16.42000","","",""
"WHS9_89","CPV","2010","AFR","","32","31.80000","","",""
"WHS9_89","CAF","2010","AFR","","40","40.39000","","",""
"WHS9_89","TCD","2010","AFR","","45","45.44000","","",""
"WHS9_89","CHL","2010","AMR","","22","22.12000","","",""
"WHS9_89","CHN","2010","WPR","","19","19.41000","","",""
"WHS9_89","COL","2010","AMR","","29","28.74000","","",""
"WHS9_89","COM","2010","AFR","","43","42.61000","","",""
"WHS9_89","COG","2010","AFR","","41","40.59000","","",""
"WHS9_89","COK","2010","WPR","","32","32.30000","","",""
"WHS9_89","CRI","2010","AMR","","25","24.90000","","",""
"WHS9_89","CIV","2010","AFR","","41","40.94000","","",""
"WHS9_89","HRV","2010","EUR","","15","14.98000","","",""
"WHS9_89","CUB","2010","AMR","","17","17.32000","","",""
"WHS9_89","CYP","2010","EUR","","18","17.77000","","",""
"WHS9_89","CZE","2010","EUR","","14","14.02000","","",""
"WHS9_89","PRK","2010","SEAR","","23","22.88000","","",""
"WHS9_89","COD","2010","AFR","","46","46.28000","","",""
"WHS9_89","DNK","2010","EUR","","18","18.01000","","",""
"WHS9_89","DJI","2010","EMR","","36","35.80000","","",""
"WHS9_89","DMA","2010","AMR","","24","23.63000","","",""
"WHS9_89","DOM","2010","AMR","","31","31.03000","","",""
"WHS9_89","ECU","2010","AMR","","30","30.33000","","",""
"WHS9_89","EGY","2010","EMR","","32","31.53000","","",""
"WHS9_89","SLV","2010","AMR","","32","31.98000","","",""
"WHS9_89","GNQ","2010","AFR","","39","39.25000","","",""
"WHS9_89","ERI","2010","AFR","","42","41.59000","","",""
"WHS9_89","EST","2010","EUR","","15","15.33000","","",""
"WHS9_89","ETH","2010","AFR","","41","41.47000","","",""
"WHS9_89","FJI","2010","WPR","","29","29.04000","","",""
"WHS9_89","FIN","2010","EUR","","17","16.54000","","",""
"WHS9_89","FRA","2010","EUR","","18","18.37000","","",""
"WHS9_89","GAB","2010","AFR","","35","35.47000","","",""
"WHS9_89","GMB","2010","AFR","","44","43.98000","","",""
"WHS9_89","GEO","2010","EUR","","17","16.57000","","",""
"WHS9_89","DEU","2010","EUR","","13","13.48000","","",""
"WHS9_89","GHA","2010","AFR","","39","38.59000","","",""
"WHS9_89","GRC","2010","EUR","","15","14.57000","","",""
"WHS9_89","GRD","2010","AMR","","28","27.55000","","",""
"WHS9_89","GTM","2010","AMR","","41","41.49000","","",""
"WHS9_89","GIN","2010","AFR","","43","42.90000","","",""
"WHS9_89","GNB","2010","AFR","","41","41.30000","","",""
"WHS9_89","GUY","2010","AMR","","34","33.58000","","",""
"WHS9_89","HTI","2010","AMR","","36","35.94000","","",""
"WHS9_89","HND","2010","AMR","","37","36.76000","","",""
"WHS9_89","HUN","2010","EUR","","15","14.71000","","",""
"WHS9_89","ISL","2010","EUR","","21","20.81000","","",""
"WHS9_89","IND","2010","SEAR","","31","30.59000","","",""
"WHS9_89","IDN","2010","SEAR","","27","27.04000","","",""
"WHS9_89","IRN","2010","EMR","","23","22.94000","","",""
"WHS9_89","IRQ","2010","EMR","","43","43.16000","","",""
"WHS9_89","IRL","2010","EUR","","21","21.20000","","",""
"WHS9_89","ISR","2010","EUR","","27","27.24000","","",""
"WHS9_89","ITA","2010","EUR","","14","14.06000","","",""
"WHS9_89","JAM","2010","AMR","","29","29.05000","","",""
"WHS9_89","JPN","2010","WPR","","13","13.36000","","",""
"WHS9_89","JOR","2010","EMR","","38","37.51000","","",""
"WHS9_89","KAZ","2010","EUR","","24","24.49000","","",""
"WHS9_89","KEN","2010","AFR","","42","42.46000","","",""
"WHS9_89","KIR","2010","WPR","","30","30.30000","","",""
"WHS9_89","KWT","2010","EMR","","27","26.70000","","",""
"WHS9_89","KGZ","2010","EUR","","30","30.05000","","",""
"WHS9_89","LAO","2010","WPR","","35","34.51000","","",""
"WHS9_89","LVA","2010","EUR","","14","13.85000","","",""
"WHS9_89","LBN","2010","EMR","","25","24.79000","","",""
"WHS9_89","LSO","2010","AFR","","37","37.39000","","",""
"WHS9_89","LBR","2010","AFR","","43","43.49000","","",""
"WHS9_89","LBY","2010","EMR","","30","30.42000","","",""
"WHS9_89","LTU","2010","EUR","","15","14.87000","","",""
"WHS9_89","LUX","2010","EUR","","18","17.66000","","",""
"WHS9_89","MDG","2010","AFR","","43","43.10000","","",""
"WHS9_89","MWI","2010","AFR","","46","45.82000","","",""
"WHS9_89","MYS","2010","WPR","","30","30.34000","","",""
"WHS9_89","MDV","2010","SEAR","","27","26.60000","","",""
"WHS9_89","MLI","2010","AFR","","47","47.16000","","",""
"WHS9_89","MLT","2010","EUR","","15","14.98000","","",""
"WHS9_89","MHL","2010","WPR","","30","30.30000","","",""
"WHS9_89","MRT","2010","AFR","","40","39.88000","","",""
"WHS9_89","MUS","2010","AFR","","22","21.89000","","",""
"WHS9_89","MEX","2010","AMR","","29","29.10000","","",""
"WHS9_89","FSM","2010","WPR","","37","36.55000","","",""
"WHS9_89","MCO","2010","EUR","","18","18.37000","","",""
"WHS9_89","MNG","2010","WPR","","28","27.61000","","",""
"WHS9_89","MNE","2010","EUR","","19","19.21000","","",""
"WHS9_89","MAR","2010","EMR","","28","28.01000","","",""
"WHS9_89","MOZ","2010","AFR","","44","44.09000","","",""
"WHS9_89","MMR","2010","SEAR","","26","25.64000","","",""
"WHS9_89","NAM","2010","AFR","","36","36.42000","","",""
"WHS9_89","NRU","2010","WPR","","30","30.30000","","",""
"WHS9_89","NPL","2010","SEAR","","36","36.19000","","",""
"WHS9_89","NLD","2010","EUR","","18","17.70000","","",""
"WHS9_89","NZL","2010","WPR","","20","20.49000","","",""
"WHS9_89","NIC","2010","AMR","","34","34.46000","","",""
"WHS9_89","NER","2010","AFR","","49","48.97000","","",""
"WHS9_89","NGA","2010","AFR","","43","42.81000","","",""
"WHS9_89","NIU","2010","WPR","","32","32.30000","","",""
"WHS9_89","NOR","2010","EUR","","19","18.72000","","",""
"WHS9_89","OMN","2010","EMR","","27","27.16000","","",""
"WHS9_89","PAK","2010","EMR","","35","35.37000","","",""
"WHS9_89","PLW","2010","WPR","","30","30.30000","","",""
"WHS9_89","PAN","2010","AMR","","29","28.96000","","",""
"WHS9_89","PNG","2010","WPR","","39","39.06000","","",""
"WHS9_89","PRY","2010","AMR","","34","33.54000","","",""
"WHS9_89","PER","2010","AMR","","30","29.97000","","",""
"WHS9_89","PHL","2010","WPR","","35","35.44000","","",""
"WHS9_89","POL","2010","EUR","","15","14.79000","","",""
"WHS9_89","PRT","2010","EUR","","15","15.12000","","",""
"WHS9_89","QAT","2010","EMR","","13","13.49000","","",""
"WHS9_89","KOR","2010","WPR","","16","16.43000","","",""
"WHS9_89","MDA","2010","EUR","","17","16.67000","","",""
"WHS9_89","ROU","2010","EUR","","15","15.19000","","",""
"WHS9_89","RUS","2010","EUR","","15","15.04000","","",""
"WHS9_89","RWA","2010","AFR","","43","42.65000","","",""
"WHS9_89","KNA","2010","AMR","","24","23.63000","","",""
"WHS9_89","LCA","2010","AMR","","26","25.86000","","",""
"WHS9_89","VCT","2010","AMR","","26","26.49000","","",""
"WHS9_89","WSM","2010","WPR","","38","37.83000","","",""
"WHS9_89","SMR","2010","EUR","","14","14.06000","","",""
"WHS9_89","STP","2010","AFR","","40","40.32000","","",""
"WHS9_89","SAU","2010","EMR","","30","30.35000","","",""
"WHS9_89","SEN","2010","AFR","","44","43.68000","","",""
"WHS9_89","SRB","2010","EUR","","18","17.60000","","",""
"WHS9_89","SYC","2010","AFR","","23","22.75000","","",""
"WHS9_89","SLE","2010","AFR","","43","43.00000","","",""
"WHS9_89","SGP","2010","WPR","","17","17.40000","","",""
"WHS9_89","SVK","2010","EUR","","15","15.13000","","",""
"WHS9_89","SVN","2010","EUR","","14","13.91000","","",""
"WHS9_89","SLB","2010","WPR","","40","39.74000","","",""
"WHS9_89","SOM","2010","EMR","","45","44.93000","","",""
"WHS9_89","ZAF","2010","AFR","","30","30.13000","","",""
"WHS9_89","ESP","2010","EUR","","15","14.96000","","",""
"WHS9_89","LKA","2010","SEAR","","25","24.88000","","",""
"WHS9_89","SDN","2010","EMR","","40","40.09000","","",""
"WHS9_89","SUR","2010","AMR","","29","28.56000","","",""
"WHS9_89","SWZ","2010","AFR","","38","38.41000","","",""
"WHS9_89","SWE","2010","EUR","","17","16.54000","","",""
"WHS9_89","CHE","2010","EUR","","15","15.24000","","",""
"WHS9_89","SYR","2010","EMR","","37","36.90000","","",""
"WHS9_89","TJK","2010","EUR","","37","36.99000","","",""
"WHS9_89","THA","2010","SEAR","","21","20.53000","","",""
"WHS9_89","MKD","2010","EUR","","18","17.62000","","",""
"WHS9_89","TLS","2010","SEAR","","46","46.21000","","",""
"WHS9_89","TGO","2010","AFR","","40","39.65000","","",""
"WHS9_89","TON","2010","WPR","","37","37.47000","","",""
"WHS9_89","TTO","2010","AMR","","21","20.60000","","",""
"WHS9_89","TUN","2010","EMR","","23","23.46000","","",""
"WHS9_89","TUR","2010","EUR","","26","26.36000","","",""
"WHS9_89","TKM","2010","EUR","","29","29.23000","","",""
"WHS9_89","TUV","2010","WPR","","32","32.30000","","",""
"WHS9_89","UGA","2010","AFR","","48","48.43000","","",""
"WHS9_89","UKR","2010","EUR","","14","14.20000","","",""
"WHS9_89","ARE","2010","EMR","","17","17.03000","","",""
"WHS9_89","GBR","2010","EUR","","17","17.37000","","",""
"WHS9_89","TZA","2010","AFR","","45","44.72000","","",""
"WHS9_89","USA","2010","AMR","","20","20.08000","","",""
