"Indicator","Country","Year","WHO region","World Bank income group","Display Value","Numeric","Low","High","Comments"
"Population proportion under 15 (%)","Afghanistan","2010","Eastern Mediterranean","","46","46.45000","","",""
"Population proportion under 15 (%)","Albania","2010","Europe","","23","22.68000","","",""
"Population proportion under 15 (%)","Algeria","2010","Africa","","27","27.05000","","",""
"Population proportion under 15 (%)","Andorra","2010","Europe","","15","14.96000","","",""
"Population proportion under 15 (%)","Angola","2010","Africa","","47","46.57000","","",""
"Population proportion under 15 (%)","Antigua and Barbuda","2010","Americas","","24","23.63000","","",""
"Population proportion under 15 (%)","Argentina","2010","Americas","","25","24.87000","","",""
"Population proportion under 15 (%)","Armenia","2010","Europe","","20","20.18000","","",""
"Population proportion under 15 (%)","Australia","2010","Western Pacific","","19","18.99000","","",""
"Population proportion under 15 (%)","Austria","2010","Europe","","15","14.72000","","",""
"Population proportion under 15 (%)","Azerbaijan","2010","Europe","","21","20.89000","","",""
"Population proportion under 15 (%)","Bahamas","2010","Americas","","23","22.52000","","",""
"Population proportion under 15 (%)","Bahrain","2010","Eastern Mediterranean","","20","20.03000","","",""
"Population proportion under 15 (%)","Bangladesh","2010","South-East Asia","","31","31.30000","","",""
"Population proportion under 15 (%)","Barbados","2010","Americas","","17","17.39000","","",""
"Population proportion under 15 (%)","Belarus","2010","Europe","","15","15.00000","","",""
"Population proportion under 15 (%)","Belgium","2010","Europe","","17","16.87000","","",""
"Population proportion under 15 (%)","Belize","2010","Americas","","35","35.04000","","",""
"Population proportion under 15 (%)","Benin","2010","Africa","","44","43.70000","","",""
"Population proportion under 15 (%)","Bhutan","2010","South-East Asia","","29","29.43000","","",""
"Population proportion under 15 (%)","Bolivia (Plurinational State of)","2010","Americas","","36","36.08000","","",""
"Population proportion under 15 (%)","Bosnia and Herzegovina","2010","Europe","","15","15.05000","","",""
"Population proportion under 15 (%)","Botswana","2010","Africa","","33","32.56000","","",""
"Population proportion under 15 (%)","Brazil","2010","Americas","","25","25.45000","","",""
"Population proportion under 15 (%)","Brunei Darussalam","2010","Western Pacific","","26","26.19000","","",""
"Population proportion under 15 (%)","Bulgaria","2010","Europe","","14","13.72000","","",""
"Population proportion under 15 (%)","Burkina Faso","2010","Africa","","45","45.34000","","",""
"Population proportion under 15 (%)","Burundi","2010","Africa","","38","37.87000","","",""
"Population proportion under 15 (%)","Cambodia","2010","Western Pacific","","32","31.90000","","",""
"Population proportion under 15 (%)","Cameroon","2010","Africa","","41","40.58000","","",""
"Population proportion under 15 (%)","Canada","2010","Americas","","16","16.42000","","",""
"Population proportion under 15 (%)","Cape Verde","2010","Africa","","32","31.80000","","",""
"Population proportion under 15 (%)","Central African Republic","2010","Africa","","40","40.39000","","",""
"Population proportion under 15 (%)","Chad","2010","Africa","","45","45.44000","","",""
"Population proportion under 15 (%)","Chile","2010","Americas","","22","22.12000","","",""
"Population proportion under 15 (%)","China","2010","Western Pacific","","19","19.41000","","",""
"Population proportion under 15 (%)","Colombia","2010","Americas","","29","28.74000","","",""
"Population proportion under 15 (%)","Comoros","2010","Africa","","43","42.61000","","",""
"Population proportion under 15 (%)","Congo","2010","Africa","","41","40.59000","","",""
"Population proportion under 15 (%)","Cook Islands","2010","Western Pacific","","32","32.30000","","",""
"Population proportion under 15 (%)","Costa Rica","2010","Americas","","25","24.90000","","",""
"Population proportion under 15 (%)","C?te d'Ivoire","2010","Africa","","41","40.94000","","",""
"Population proportion under 15 (%)","Croatia","2010","Europe","","15","14.98000","","",""
"Population proportion under 15 (%)","Cuba","2010","Americas","","17","17.32000","","",""
"Population proportion under 15 (%)","Cyprus","2010","Europe","","18","17.77000","","",""
"Population proportion under 15 (%)","Czech Republic","2010","Europe","","14","14.02000","","",""
"Population proportion under 15 (%)","Democratic People's Republic of Korea","2010","South-East Asia","","23","22.88000","","",""
"Population proportion under 15 (%)","Democratic Republic of the Congo","2010","Africa","","46","46.28000","","",""
"Population proportion under 15 (%)","Denmark","2010","Europe","","18","18.01000","","",""
"Population proportion under 15 (%)","Djibouti","2010","Eastern Mediterranean","","36","35.80000","","",""
"Population proportion under 15 (%)","Dominica","2010","Americas","","24","23.63000","","",""
"Population proportion under 15 (%)","Dominican Republic","2010","Americas","","31","31.03000","","",""
"Population proportion under 15 (%)","Ecuador","2010","Americas","","30","30.33000","","",""
"Population proportion under 15 (%)","Egypt","2010","Eastern Mediterranean","","32","31.53000","","",""
"Population proportion under 15 (%)","El Salvador","2010","Americas","","32","31.98000","","",""
"Population proportion under 15 (%)","Equatorial Guinea","2010","Africa","","39","39.25000","","",""
"Population proportion under 15 (%)","Eritrea","2010","Africa","","42","41.59000","","",""
"Population proportion under 15 (%)","Estonia","2010","Europe","","15","15.33000","","",""
"Population proportion under 15 (%)","Ethiopia","2010","Africa","","41","41.47000","","",""
"Population proportion under 15 (%)","Fiji","2010","Western Pacific","","29","29.04000","","",""
"Population proportion under 15 (%)","Finland","2010","Europe","","17","16.54000","","",""
"Population proportion under 15 (%)","France","2010","Europe","","18","18.37000","","",""
"Population proportion under 15 (%)","Gabon","2010","Africa","","35","35.47000","","",""
"Population proportion under 15 (%)","Gambia","2010","Africa","","44","43.98000","","",""
"Population proportion under 15 (%)","Georgia","2010","Europe","","17","16.57000","","",""
"Population proportion under 15 (%)","Germany","2010","Europe","","13","13.48000","","",""
"Population proportion under 15 (%)","Ghana","2010","Africa","","39","38.59000","","",""
"Population proportion under 15 (%)","Greece","2010","Europe","","15","14.57000","","",""
"Population proportion under 15 (%)","Grenada","2010","Americas","","28","27.55000","","",""
"Population proportion under 15 (%)","Guatemala","2010","Americas","","41","41.49000","","",""
"Population proportion under 15 (%)","Guinea","2010","Africa","","43","42.90000","","",""
"Population proportion under 15 (%)","Guinea-Bissau","2010","Africa","","41","41.30000","","",""
"Population proportion under 15 (%)","Guyana","2010","Americas","","34","33.58000","","",""
"Population proportion under 15 (%)","Haiti","2010","Americas","","36","35.94000","","",""
"Population proportion under 15 (%)","Honduras","2010","Americas","","37","36.76000","","",""
"Population proportion under 15 (%)","Hungary","2010","Europe","","15","14.71000","","",""
"Population proportion under 15 (%)","Iceland","2010","Europe","","21","20.81000","","",""
"Population proportion under 15 (%)","India","2010","South-East Asia","","31","30.59000","","",""
"Population proportion under 15 (%)","Indonesia","2010","South-East Asia","","27","27.04000","","",""
"Population proportion under 15 (%)","Iran (Islamic Republic of)","2010","Eastern Mediterranean","","23","22.94000","","",""
"Population proportion under 15 (%)","Iraq","2010","Eastern Mediterranean","","43","43.16000","","",""
"Population proportion under 15 (%)","Ireland","2010","Europe","","21","21.20000","","",""
"Population proportion under 15 (%)","Israel","2010","Europe","","27","27.24000","","",""
"Population proportion under 15 (%)","Italy","2010","Europe","","14","14.06000","","",""
"Population proportion under 15 (%)","Jamaica","2010","Americas","","29","29.05000","","",""
"Population proportion under 15 (%)","Japan","2010","Western Pacific","","13","13.36000","","",""
"Population proportion under 15 (%)","Jordan","2010","Eastern Mediterranean","","38","37.51000","","",""
"Population proportion under 15 (%)","Kazakhstan","2010","Europe","","24","24.49000","","",""
"Population proportion under 15 (%)","Kenya","2010","Africa","","42","42.46000","","",""
"Population proportion under 15 (%)","Kiribati","2010","Western Pacific","","30","30.30000","","",""
"Population proportion under 15 (%)","Kuwait","2010","Eastern Mediterranean","","27","26.70000","","",""
"Population proportion under 15 (%)","Kyrgyzstan","2010","Europe","","30","30.05000","","",""
"Population proportion under 15 (%)","Lao People's Democratic Republic","2010","Western Pacific","","35","34.51000","","",""
"Population proportion under 15 (%)","Latvia","2010","Europe","","14","13.85000","","",""
"Population proportion under 15 (%)","Lebanon","2010","Eastern Mediterranean","","25","24.79000","","",""
"Population proportion under 15 (%)","Lesotho","2010","Africa","","37","37.39000","","",""
"Population proportion under 15 (%)","Liberia","2010","Africa","","43","43.49000","","",""
"Population proportion under 15 (%)","Libya","2010","Eastern Mediterranean","","30","30.42000","","",""
"Population proportion under 15 (%)","Lithuania","2010","Europe","","15","14.87000","","",""
"Population proportion under 15 (%)","Luxembourg","2010","Europe","","18","17.66000","","",""
"Population proportion under 15 (%)","Madagascar","2010","Africa","","43","43.10000","","",""
"Population proportion under 15 (%)","Malawi","2010","Africa","","46","45.82000","","",""
"Population proportion under 15 (%)","Malaysia","2010","Western Pacific","","30","30.34000","","",""
