"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","WORLDBANKINCOMEGROUP (CODE)","WORLDBANKINCOMEGROUP (DISPLAY)","WORLDBANKINCOMEGROUP (URL)","Display Value","Numeric","Low","High","Comments"
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","AFG","Afghanistan","","2010","2010","","EMR","Eastern Mediterranean","","","","","46","46.45000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","ALB","Albania","","2010","2010","","EUR","Europe","","","","","23","22.68000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","DZA","Algeria","","2010","2010","","AFR","Africa","","","","","27","27.05000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","AND","Andorra","","2010","2010","","EUR","Europe","","","","","15","14.96000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","AGO","Angola","","2010","2010","","AFR","Africa","","","","","47","46.57000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","ATG","Antigua and Barbuda","","2010","2010","","AMR","Americas","","","","","24","23.63000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","ARG","Argentina","","2010","2010","","AMR","Americas","","","","","25","24.87000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","ARM","Armenia","","2010","2010","","EUR","Europe","","","","","20","20.18000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","AUS","Australia","","2010","2010","","WPR","Western Pacific","","","","","19","18.99000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","AUT","Austria","","2010","2010","","EUR","Europe","","","","","15","14.72000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","AZE","Azerbaijan","","2010","2010","","EUR","Europe","","","","","21","20.89000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BHS","Bahamas","","2010","2010","","AMR","Americas","","","","","23","22.52000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BHR","Bahrain","","2010","2010","","EMR","Eastern Mediterranean","","","","","20","20.03000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BGD","Bangladesh","","2010","2010","","SEAR","South-East Asia","","","","","31","31.30000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BRB","Barbados","","2010","2010","","AMR","Americas","","","","","17","17.39000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BLR","Belarus","","2010","2010","","EUR","Europe","","","","","15","15.00000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BEL","Belgium","","2010","2010","","EUR","Europe","","","","","17","16.87000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BLZ","Belize","","2010","2010","","AMR","Americas","","","","","35","35.04000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BEN","Benin","","2010","2010","","AFR","Africa","","","","","44","43.70000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BTN","Bhutan","","2010","2010","","SEAR","South-East Asia","","","","","29","29.43000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BOL","Bolivia (Plurinational State of)","","2010","2010","","AMR","Americas","","","","","36","36.08000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BIH","Bosnia and Herzegovina","","2010","2010","","EUR","Europe","","","","","15","15.05000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BWA","Botswana","","2010","2010","","AFR","Africa","","","","","33","32.56000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BRA","Brazil","","2010","2010","","AMR","Americas","","","","","25","25.45000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BRN","Brunei Darussalam","","2010","2010","","WPR","Western Pacific","","","","","26","26.19000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BGR","Bulgaria","","2010","2010","","EUR","Europe","","","","","14","13.72000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BFA","Burkina Faso","","2010","2010","","AFR","Africa","","","","","45","45.34000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","BDI","Burundi","","2010","2010","","AFR","Africa","","","","","38","37.87000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","KHM","Cambodia","","2010","2010","","WPR","Western Pacific","","","","","32","31.90000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","CMR","Cameroon","","2010","2010","","AFR","Africa","","","","","41","40.58000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","CAN","Canada","","2010","2010","","AMR","Americas","","","","","16","16.42000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","CPV","Cape Verde","","2010","2010","","AFR","Africa","","","","","32","31.80000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","CAF","Central African Republic","","2010","2010","","AFR","Africa","","","","","40","40.39000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","TCD","Chad","","2010","2010","","AFR","Africa","","","","","45","45.44000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","CHL","Chile","","2010","2010","","AMR","Americas","","","","","22","22.12000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","CHN","China","","2010","2010","","WPR","Western Pacific","","","","","19","19.41000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","COL","Colombia","","2010","2010","","AMR","Americas","","","","","29","28.74000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","COM","Comoros","","2010","2010","","AFR","Africa","","","","","43","42.61000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","COG","Congo","","2010","2010","","AFR","Africa","","","","","41","40.59000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","COK","Cook Islands","","2010","2010","","WPR","Western Pacific","","","","","32","32.30000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","CRI","Costa Rica","","2010","2010","","AMR","Americas","","","","","25","24.90000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","CIV","C?te d'Ivoire","","2010","2010","","AFR","Africa","","","","","41","40.94000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","HRV","Croatia","","2010","2010","","EUR","Europe","","","","","15","14.98000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","CUB","Cuba","","2010","2010","","AMR","Americas","","","","","17","17.32000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","CYP","Cyprus","","2010","2010","","EUR","Europe","","","","","18","17.77000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","CZE","Czech Republic","","2010","2010","","EUR","Europe","","","","","14","14.02000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","PRK","Democratic People's Republic of Korea","","2010","2010","","SEAR","South-East Asia","","","","","23","22.88000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","COD","Democratic Republic of the Congo","","2010","2010","","AFR","Africa","","","","","46","46.28000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","DNK","Denmark","","2010","2010","","EUR","Europe","","","","","18","18.01000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","DJI","Djibouti","","2010","2010","","EMR","Eastern Mediterranean","","","","","36","35.80000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","DMA","Dominica","","2010","2010","","AMR","Americas","","","","","24","23.63000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","DOM","Dominican Republic","","2010","2010","","AMR","Americas","","","","","31","31.03000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","ECU","Ecuador","","2010","2010","","AMR","Americas","","","","","30","30.33000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","EGY","Egypt","","2010","2010","","EMR","Eastern Mediterranean","","","","","32","31.53000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","SLV","El Salvador","","2010","2010","","AMR","Americas","","","","","32","31.98000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","GNQ","Equatorial Guinea","","2010","2010","","AFR","Africa","","","","","39","39.25000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","ERI","Eritrea","","2010","2010","","AFR","Africa","","","","","42","41.59000","","",""
"WHS9_89","Population proportion under 15 (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=118","EST","Estonia","","2010","2010","","EUR","Europe","","","","","15","15.33000","","",""
